,brewery_name,address,brewery_page_url,list_order,page_num
36,Bold Republic Brewing Company,"206 N Penelope St Belton TX 76513, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/6053e17f511de45e1578f326,,1
37,Brick Vault Brewery and BBQ,"PO Box 46 Marathon TX 79842, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952469c86f7de949677d,,1
38,Brigadoon Brewery & Brew School LLC,"4808 Fairmont Parkway, Suite 112 Pasadena TX 77505, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967da,,1
39,Brotherwell Brewing,"400 E Bridge Street Waco TX 76704, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de94967a2,,1
40,Buckstin Brewing Company,"1211 Boston Ave Nederland TX 77627, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de9496825,,1
41,Cactus Land Brewing Company,"368 County Road 325 Adkins TX 78101, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de949678f,,1
42,Celestial Beerworks,"2530 Butler St Dallas TX 75235, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967d0,,1
43,Celis Brewery,"10001 Metric Blvd Austin TX 78758, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de9496783,,1
44,Central District Brewing,"PO Box 6942 Austin TX 78762, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de949681c,,1
45,Central Machine Works,"4824 E. Cesar Chavez Austin TX 78702, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de9496839,,1
46,Chambers Creek Brewing Company,"PO BOX 211 Maypearl TX 76064, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5ff07d76c6be8f733b4f7733,,1
47,Cibolo Creek Brewing,"448 S Main St Boerne TX 78006, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967e3,,1
48,Circle Brewing Co.,"2340 West Braker Lane, Suite B Austin TX 78758, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9445a0c0621573707d,,1
49,City Orchard,"1201 Oliver Street, Unit 108 Houston TX 77007, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/60ff0ff43929587fc7708ab4,,1
50,Cowtown Brewing Company,"1301 E Belknap St Fort Worth TX 76102, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9445a0c06215737078,,1
51,Craft And Growler,"3601 Parry Ave Dallas TX 75226, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de9496799,,1
52,Deadbeach Brewery,"406 S Durango El Paso TX 79901, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de9496795,,1
53,"DECA Beer Company, Inc.","494 Business Park, 25428 TX Loop 494, STE G Porter TX 77365, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967ec,,1
54,Deep Ellum Brewing Company,"2823 St Louis Street Dallas TX 75226, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fca627308adef36df44b27f,,1
55,Denton County Brewing Company,"200 E. McKinney St. Denton TX 76201, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9345a0c06215737063,,1
56,Devil and the Deep Brewery,"2425 Postoffice St. Galveston TX 77550, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de9496790,,1
57,Division Brewing,"2616 PIN OAK LANE Arlington TX 76012, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967e4,,1
58,Dodging Duck Brewhaus,"402 River Road Boerne TX 78006, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952569c86f7de949678d,,1
59,Dorcol Distilling and Brewing,"P.O. Box 830626 San Antonio TX 78283, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952669c86f7de94967d7,,1
60,Dos Sirenos Brewing,"231 E Cevallos Street San Antonio TX 78204, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952869c86f7de9496822,,1
61,Edgewise Eight Brewing,"221 N. Main Weatherford TX 76086, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/60f04606c4b375595641d456,,1
62,Eureka Heights Brew Co,"941 W 18th St Houston TX 77008, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9445a0c06215737081,,1
63,"Excalibur Brewing, Llc",26510 A Border St Sprint Texas 77373,https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967f7,,1
64,False Idol Brewing,"7924 Maplewood Ave North Richland Hills TX 76180, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5fba952769c86f7de94967fe,,1
65,Family Business Beer Company,"19510 Hamilton Pool Rd Dripping Springs TX 78620, US",https://texascraftbrewersguild.org/directory-brewery-members/#!biz/id/5f775a9345a0c0621573706c,,1
